id,indicator_code,spatial_dim_type,spatial_dim,time_dim_type,parent_location_code,parent_location,time_dim,numeric_value,low,high,date,time_dimension_value,time_dimension_begin,time_dimension_end
3224052,MDG_0000000026,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,1998,66.64486652,36.88496797,118.2164789,2025-04-10 15:44:11.957000+02:00,1998,1998-01-01 00:00:00+01:00,1998-12-31 00:00:00+01:00
3225062,MDG_0000000026,COUNTRY,MEX,YEAR,AMR,Americas,2019,43.33916083,35.82727584,49.80523684,2025-04-10 15:44:11.957000+02:00,2019,2019-01-01 00:00:00+01:00,2019-12-31 00:00:00+01:00
3225152,MDG_0000000026,COUNTRY,HTI,YEAR,AMR,Americas,2013,380.3609216,286.1522697,536.3380246,2025-04-10 15:44:11.957000+02:00,2013,2013-01-01 00:00:00+01:00,2013-12-31 00:00:00+01:00
3225570,MDG_0000000026,COUNTRY,RWA,YEAR,AFR,Africa,2012,330.7634096,263.227452,414.8654802,2025-04-10 15:44:11.957000+02:00,2012,2012-01-01 00:00:00+01:00,2012-12-31 00:00:00+01:00
3225571,MDG_0000000026,COUNTRY,ZMB,YEAR,AFR,Africa,1994,507.2602454,406.2215491,632.4168838,2025-04-10 15:44:11.957000+02:00,1994,1994-01-01 00:00:00+01:00,1994-12-31 00:00:00+01:00
3228120,MDG_0000000026,COUNTRY,MKD,YEAR,EUR,Europe,1996,14.25911845,11.13594075,18.46053247,2025-04-10 15:44:11.957000+02:00,1996,1996-01-01 00:00:00+01:00,1996-12-31 00:00:00+01:00
3228207,MDG_0000000026,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,2011,9.854866082,6.806015342,14.18007665,2025-04-10 15:44:11.957000+02:00,2011,2011-01-01 00:00:00+01:00,2011-12-31 00:00:00+01:00
3228685,MDG_0000000026,COUNTRY,TGO,YEAR,AFR,Africa,2019,415.9724048,273.71352,601.4258851,2025-04-10 15:44:11.957000+02:00,2019,2019-01-01 00:00:00+01:00,2019-12-31 00:00:00+01:00
3230113,MDG_0000000026,COUNTRY,MLT,YEAR,EUR,Europe,2010,8.57566013,5.181807108,12.96268565,2025-04-10 15:44:11.957000+02:00,2010,2010-01-01 00:00:00+01:00,2010-12-31 00:00:00+01:00
3232619,MDG_0000000026,COUNTRY,POL,YEAR,EUR,Europe,2001,6.089401183,4.938713493,7.507061023,2025-04-07 06:46:44.380000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3232637,MDG_0000000026,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,2019,261.8607733,166.6702431,408.1144903,2025-04-10 15:44:11.957000+02:00,2019,2019-01-01 00:00:00+01:00,2019-12-31 00:00:00+01:00
3235251,MDG_0000000026,COUNTRY,SYC,YEAR,AFR,Africa,2002,45.19913739,31.73626529,62.76561377,2025-04-10 15:44:11.957000+02:00,2002,2002-01-01 00:00:00+01:00,2002-12-31 00:00:00+01:00
3235461,MDG_0000000026,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,2007,9.509939249,7.612464267,11.97300104,2025-04-07 06:46:44.380000+02:00,2007,2007-01-01 00:00:00+01:00,2007-12-31 00:00:00+01:00
3236094,MDG_0000000026,COUNTRY,JPN,YEAR,WPR,Western Pacific,2002,7.801033955,7.108289116,8.640746225,2025-04-07 06:46:44.380000+02:00,2002,2002-01-01 00:00:00+01:00,2002-12-31 00:00:00+01:00
3238483,MDG_0000000026,COUNTRY,HRV,YEAR,EUR,Europe,1985,10.00237102,7.456304407,13.06296353,2025-04-07 06:46:44.380000+02:00,1985,1985-01-01 00:00:00+01:00,1985-12-31 00:00:00+01:00
3240346,MDG_0000000026,COUNTRY,GMB,YEAR,AFR,Africa,1997,927.944805,666.8077879,1286.291214,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
3245765,MDG_0000000026,COUNTRY,LTU,YEAR,EUR,Europe,2002,13.70420519,10.65044222,17.36613074,2025-04-10 15:44:11.957000+02:00,2002,2002-01-01 00:00:00+01:00,2002-12-31 00:00:00+01:00
3245822,MDG_0000000026,COUNTRY,KNA,YEAR,AMR,Americas,1989,315.8809917,233.970145,427.5834006,2025-04-10 15:44:11.957000+02:00,1989,1989-01-01 00:00:00+01:00,1989-12-31 00:00:00+01:00
3246982,MDG_0000000026,COUNTRY,JPN,YEAR,WPR,Western Pacific,2018,4.734954921,3.83812108,5.817503874,2025-04-07 06:46:44.380000+02:00,2018,2018-01-01 00:00:00+01:00,2018-12-31 00:00:00+01:00
3246986,MDG_0000000026,COUNTRY,SEN,YEAR,AFR,Africa,2013,385.4995377,309.6560095,500.4121649,2025-04-10 15:44:11.957000+02:00,2013,2013-01-01 00:00:00+01:00,2013-12-31 00:00:00+01:00
3248518,MDG_0000000026,COUNTRY,VNM,YEAR,WPR,Western Pacific,1991,142.4064344,101.0596735,196.1528824,2025-04-10 15:44:11.957000+02:00,1991,1991-01-01 00:00:00+01:00,1991-12-31 00:00:00+01:00
3248985,MDG_0000000026,COUNTRY,SWZ,YEAR,AFR,Africa,2014,368.8472003,233.384377,594.8617923,2025-04-10 15:44:11.957000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3251056,MDG_0000000026,COUNTRY,KGZ,YEAR,EUR,Europe,1997,84.52845105,69.76963248,97.17558658,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
3251130,MDG_0000000026,COUNTRY,HUN,YEAR,EUR,Europe,1985,25.72006813,19.97184203,34.22778462,2025-04-10 15:44:11.957000+02:00,1985,1985-01-01 00:00:00+01:00,1985-12-31 00:00:00+01:00
3252462,MDG_0000000026,COUNTRY,MNG,YEAR,WPR,Western Pacific,2009,74.62361186,61.48335684,89.22709906,2025-04-10 15:44:11.957000+02:00,2009,2009-01-01 00:00:00+01:00,2009-12-31 00:00:00+01:00
3253268,MDG_0000000026,COUNTRY,BEN,YEAR,AFR,Africa,2019,572.1479506,448.5223291,780.6271686,2025-04-10 15:44:11.957000+02:00,2019,2019-01-01 00:00:00+01:00,2019-12-31 00:00:00+01:00
